City,Country,Max Temp,Lat,Lng,Hotel Name
Najran,SA,84.85,17.4924,44.1277,
Labuhan,ID,79.21,-6.8844,112.2051,
Kavieng,PG,82.83,-2.5744,150.7967,
Presidencia Roque Saenz Pena,AR,77.09,-26.7852,-60.4388,
Pattani,TH,76.71,6.75,100.4167,
Ipixuna,BR,81.27,-1.7625,-48.8043,
Diego De Almagro,CL,76.59,-26.3667,-70.05,
Lamu,KE,80.82,-2.2717,40.902,
Bengkulu,ID,76.39,-3.8004,102.2655,
Bangkalan,ID,82.35,-7.0455,112.7351,
Phalodi,IN,93.16,27.1333,72.3667,
Lorengau,PG,80.85,-2.0226,147.2712,
Bandarbeyla,SO,82.72,9.4942,50.8122,
Port-Gentil,GA,84.16,-0.7193,8.7815,
Dwarka,IN,82.74,22.2394,68.9678,
Sambava,MG,76.17,-14.2667,50.1667,
Wajir,KE,85.96,1.7471,40.0573,
Sabla,NG,86.23,12.7525,4.7077,
Avarua,CK,75.25,-21.2078,-159.775,
Langsa,ID,75.67,4.4683,97.9683,
Santa Rosa,PH,84.18,14.3122,121.1114,
Thinadhoo,MV,83.91,0.5333,72.9333,
Yaan,NG,88.65,7.3833,8.5667,
Ixtapa,MX,79.83,20.7,-105.2,
Ishigaki,JP,75.33,24.3448,124.1572,
Turbat,PK,85.05,26.0023,63.044,
Bonthe,SL,84.16,7.5264,-12.505,
Manzanillo,CU,87.46,20.3433,-77.1167,
Gurlan,UZ,75.11,41.8447,60.3919,
Almenara,BR,91.85,-16.1836,-40.6944,
Puerto Escondido,MX,85.03,15.85,-97.0667,
Bambous Virieux,MU,77.25,-20.3428,57.7575,
Cassilandia,BR,80.29,-19.1133,-51.7342,
Soyo,AO,79.03,-6.1349,12.3689,
Grand-Santi,GF,84.42,4.25,-54.3833,
Anori,BR,88.97,-3.7728,-61.6442,
Kerema,PG,76.95,-7.9631,145.7785,
Isla Vista,US,76.35,34.4133,-119.861,
Passos,BR,75.69,-20.7189,-46.6097,
Victoria,HK,77.18,22.2855,114.1577,
Rey Bouba,CM,86.74,8.6724,14.1786,
Porto Walter,BR,85.51,-8.2686,-72.7439,
Puerto Guzman,CO,75.02,0.9703,-76.5858,
Jilib,SO,76.5,0.4883,42.7854,
Pontes E Lacerda,BR,79.5,-15.2261,-59.3353,
Sinnamary,GF,81.36,5.3833,-52.95,
Mitsamiouli,KM,80.89,-11.3847,43.2844,
Kulhudhuffushi,MV,83.93,6.6221,73.07,
Urucara,BR,84.76,-2.5364,-57.76,
Celestun,MX,90.37,20.8667,-90.4,
Amatitan,MX,90.34,20.8333,-103.7167,
San Luis,AR,75.15,-33.295,-66.3356,
Banda Aceh,ID,79.3,5.5577,95.3222,
Bowmore,US,79.81,34.9421,-79.3031,
Waingapu,ID,77.54,-9.6567,120.2641,
Mitu,CO,76.53,1.1983,-70.1733,
Riviera Beach,US,92.05,26.7753,-80.0581,
Fasa,IR,79.84,28.9383,53.6482,
Itarema,BR,82.13,-2.9248,-39.9167,
Acapulco,MX,85.82,16.8634,-99.8901,
Mahebourg,MU,77.29,-20.4081,57.7,
Kahului,US,75.85,20.8947,-156.47,
Trincomalee,LK,80.38,8.5711,81.2335,
Luganville,VU,78.03,-15.5333,167.1667,
Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,
Palu,ID,76.23,-0.8917,119.8707,
Sao Francisco Do Sul,BR,78.71,-26.2433,-48.6381,
Darab,IR,77.43,28.7519,54.5444,
Buala,SB,80.17,-8.145,159.5921,
Mahibadhoo,MV,82.04,3.7833,72.9667,
Namibe,AO,83.03,-15.1961,12.1522,
Soc Trang,VN,80.26,9.6033,105.98,
Kattivakkam,IN,87.89,13.2167,80.3167,
Kalmunai,LK,81.43,7.4167,81.8167,
Hami,CN,75.88,42.8,93.45,
Santo Antonio De Padua,BR,81.34,-21.5394,-42.1803,
Labrea,BR,82.38,-7.2586,-64.7981,
Padang,ID,75.25,-0.9492,100.3543,
Saravena,CO,76.66,6.9538,-71.8752,
Chauk,MM,87.01,20.8833,94.8167,
Xuddur,SO,76.69,4.1213,43.8894,
Salinopolis,BR,80.82,-0.6136,-47.3561,
Panji,ID,75.09,-7.7253,114.0995,
San Cristobal,VE,75.38,7.7669,-72.225,
Balkanabat,TM,82.27,39.5108,54.3671,
Batangafo,CF,76.01,7.3008,18.2833,
Jalu,LY,77.59,29.0331,21.5482,
Vallenar,CL,76.51,-28.5708,-70.7581,
Manokwari,ID,78.73,-0.8667,134.0833,
Sampang,ID,80.55,-7.1872,113.2394,
Ciudad Bolivar,VE,91.63,8.1222,-63.5497,
Gorontalo,ID,75.11,0.5412,123.0595,
Porto Belo,BR,76.78,-27.1578,-48.5531,
Tahta,EG,75.13,26.7693,31.5021,
Wanning,CN,76.37,18.8003,110.3967,
Nimbahera,IN,87.71,24.6167,74.6833,
Sungairaya,ID,79.05,0.7,108.9,
Kununurra,AU,80.58,-15.7667,128.7333,
Paracuru,BR,81.1,-3.41,-39.0306,
Ocos,GT,86.18,14.5094,-92.1933,
Karratha,AU,75.31,-20.7377,116.8463,
Bara,NG,92.62,10.3744,10.7288,
Belmonte,BR,82.54,-15.8631,-38.8828,
Ibotirama,BR,94.89,-12.1853,-43.2206,
Lodja,CD,76.89,-3.4833,23.4333,
Gondanglegi,ID,75.4,-7.7479,112.0132,
Narasannapeta,IN,81.0,18.4167,84.05,
Puerto Plata,DO,91.45,19.7934,-70.6884,
Arboletes,CO,78.55,8.8505,-76.4269,
El Alto,PE,78.46,-4.2714,-81.2147,
Barcelos,PT,75.92,41.5388,-8.6151,
Grand Baie,MU,77.47,-20.0182,57.5802,
Pochutla,MX,90.82,15.7432,-96.4661,
Harrai,IN,86.99,22.6167,79.2167,
Gerash,IR,82.54,27.6652,54.1371,
Mumford,GH,81.88,5.2618,-0.759,
Noumea,NC,75.0,-22.2763,166.4572,
Vila Velha,BR,80.55,-20.3297,-40.2925,
Carlos Chagas,BR,92.37,-17.7031,-40.7664,
George Town,MY,82.33,5.4112,100.3354,
Birao,CF,88.41,10.2849,22.7882,
Puerto Colombia,CO,93.29,10.9878,-74.9547,
Houston,US,90.23,29.7633,-95.3633,
Oranjestad,AW,87.75,12.524,-70.027,
Adrar,MR,92.75,20.5022,-10.0711,
Pauini,BR,84.58,-7.7136,-66.9764,
Saint-Pierre,RE,76.68,-21.3393,55.4781,
Prado,BR,82.17,-17.3411,-39.2208,
Tekkali,IN,80.22,18.6167,84.2333,
Sadri,IN,86.07,25.1833,73.4333,
Bushehr,IR,87.89,28.9684,50.8385,
Avera,US,89.55,33.194,-82.5271,
Zaranj,AF,78.76,30.9667,61.8833,
Vanimo,PG,77.54,-2.6741,141.3028,
Putatan,MY,77.02,5.9258,116.0609,
Hambantota,LK,77.34,6.1241,81.1185,
Sola,VU,81.95,-13.8833,167.55,
Dingle,PH,77.41,10.9995,122.6711,
Conde,BR,78.26,-7.2597,-34.9075,
Conakry,GN,82.47,9.538,-13.6773,
Eirunepe,BR,84.47,-6.6603,-69.8736,
Rincon,US,93.16,32.296,-81.2354,
Cururupu,BR,84.07,-1.8283,-44.8683,
