City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Yar-Sale,RU,66.8333,70.8333,12.94,82,14,11.14,few clouds
114,Waipawa,NZ,-41.4122,175.5153,51.8,90,7,3.74,clear sky
115,Aksu,CN,41.1231,80.2644,74.84,22,97,4.47,overcast clouds
116,Santa Marta,CO,11.2408,-74.199,89.65,62,75,9.22,thunderstorm
117,Waidhofen,DE,48.5833,11.3333,59.72,79,100,5.75,overcast clouds
118,Kavaratti,IN,10.5669,72.642,84.83,72,100,10.58,overcast clouds
119,Sao Filipe,CV,14.8961,-24.4956,73.27,78,56,5.64,broken clouds
120,Kruisfontein,ZA,-34.0033,24.7314,63.28,56,5,3.76,clear sky
121,Sitka,US,57.0531,-135.33,44.49,70,75,3.44,broken clouds
122,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,3.44,clear sky
123,Bethel,US,41.3712,-73.414,72.19,32,0,11.5,clear sky
124,Lavrentiya,RU,65.5833,-171.0,19.58,82,9,2.13,clear sky
125,Muisne,EC,0.6,-80.0333,78.62,76,85,13.96,overcast clouds
126,Broken Hill,AU,-31.95,141.4333,38.91,87,0,0.0,clear sky
127,Norman Wells,CA,65.282,-126.8329,35.64,75,100,17.27,overcast clouds
128,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,17.27,light snow
129,Margate,GB,51.3813,1.3862,56.7,77,79,1.01,broken clouds
130,Hobyo,SO,5.3505,48.5268,83.73,79,2,23.44,clear sky
131,Anloga,GH,5.7947,0.8973,83.21,79,95,11.95,overcast clouds
132,Riyadh,SA,24.6877,46.7219,95.14,13,50,6.85,scattered clouds
133,Mayo,US,38.8876,-76.5119,69.37,72,100,5.75,overcast clouds
134,Grafton,US,42.207,-71.6856,70.84,32,0,5.75,clear sky
135,Saint-Paul,RE,-21.0096,55.2707,75.36,81,14,1.97,light rain
136,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,few clouds
137,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,75,18.41,light rain
138,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,74,75,16.11,broken clouds
139,Upernavik,GL,72.7868,-56.1549,14.72,84,51,6.78,broken clouds
140,Faanui,PF,-16.4833,-151.75,81.36,73,69,7.54,broken clouds
141,Uddevalla,SE,58.3478,11.9424,48.56,83,8,1.01,clear sky
142,Kungsbacka,SE,57.4872,12.0761,51.08,73,13,17.0,few clouds
143,Chokurdakh,RU,70.6333,147.9167,19.45,95,100,7.49,overcast clouds
144,Launceston,AU,-41.45,147.1667,48.79,85,100,3.44,light rain
145,Cayenne,GF,4.9333,-52.3333,84.24,1,75,7.0,broken clouds
146,Port Hedland,AU,-20.3167,118.5667,73.45,40,0,12.66,clear sky
147,Airai,TL,-8.9266,125.4092,59.29,93,67,2.95,broken clouds
148,Cidreira,BR,-30.1811,-50.2056,66.58,67,77,8.41,broken clouds
