City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Humboldt,US,2022-05-05 18:24:12,40.6665,-123.9178,45.68,96,100,7.02
171,Plyussa,RU,2022-05-05 18:24:13,58.4308,29.3654,43.65,55,95,5.79
172,Diego De Almagro,CL,2022-05-05 18:24:17,-26.3667,-70.05,76.59,24,87,8.3
173,Magole,TZ,2022-05-05 18:24:20,-6.3667,37.3667,69.46,95,54,1.63
174,Lamu,KE,2022-05-05 18:24:20,-2.2717,40.902,80.82,82,51,14.5
175,Binzhou,CN,2022-05-05 18:24:21,37.3667,118.0167,71.49,38,99,8.61
176,Bengkulu,ID,2022-05-05 18:24:21,-3.8004,102.2655,76.39,88,100,4.85
177,Bangkalan,ID,2022-05-05 18:22:53,-7.0455,112.7351,82.35,84,59,3.27
178,Paita,PE,2022-05-05 18:24:22,-5.0892,-81.1144,71.98,70,94,10.63
179,Hasaki,JP,2022-05-05 18:24:23,35.7333,140.8333,59.4,81,100,10.92
180,Lianga,PH,2022-05-05 18:24:24,8.6336,126.0947,74.34,96,83,1.52
181,Dikson,RU,2022-05-05 18:24:24,73.5069,80.5464,15.93,98,99,5.01
182,Lengshuijiang,CN,2022-05-05 18:24:27,27.6881,111.4294,68.72,68,61,1.43
183,Almaznyy,RU,2022-05-05 18:24:28,48.0448,40.045,50.58,47,100,14.56
184,Alofi,NU,2022-05-05 18:25:29,-19.0595,-169.9187,73.29,88,22,5.75
185,Ayolas,PY,2022-05-05 18:25:30,-27.4,-56.9,73.54,64,10,3.56
186,Provideniya,RU,2022-05-05 18:25:31,64.3833,-173.3,26.51,87,60,3.15
187,Iquique,CL,2022-05-05 18:25:33,-20.2208,-70.1431,66.24,71,13,6.55
188,Toyooka,JP,2022-05-05 18:25:34,35.5333,134.8333,57.22,91,100,7.11
189,Sitka,US,2022-05-05 18:25:35,57.0531,-135.33,44.49,76,75,3.44
190,Thompson,CA,2022-05-05 18:25:36,55.7435,-97.8558,37.56,65,100,10.36
191,Dandong,CN,2022-05-05 18:25:37,40.1292,124.3947,52.5,86,99,8.75
192,Muroto,JP,2022-05-05 18:25:37,33.2833,134.15,66.24,76,100,7.58
193,Phalodi,IN,2022-05-05 18:25:38,27.1333,72.3667,93.16,20,57,10.27
194,Marawi,PH,2022-05-05 18:25:40,7.9986,124.2928,69.31,94,79,1.36
195,Lorengau,PG,2022-05-05 18:25:40,-2.0226,147.2712,80.85,82,61,4.7
196,Saskylakh,RU,2022-05-05 18:25:41,71.9167,114.0833,18.48,95,64,8.63
197,Ayan,RU,2022-05-05 18:25:42,56.45,138.1667,28.9,89,100,2.26
198,Bandarbeyla,SO,2022-05-05 18:25:43,9.4942,50.8122,82.72,83,24,8.12
199,Burgos,ES,2022-05-05 18:25:43,42.3394,-3.7079,59.41,63,20,14.97
200,Husavik,IS,2022-05-05 18:25:45,66.0449,-17.3389,39.15,77,73,9.46
201,Naze,JP,2022-05-05 18:24:30,28.3667,129.4833,67.12,90,100,14.29
202,Port-Gentil,GA,2022-05-05 18:25:47,-0.7193,8.7815,84.16,79,20,9.22
203,Luderitz,NA,2022-05-05 18:25:47,-26.6481,15.1594,66.85,54,0,7.25
204,Dwarka,IN,2022-05-05 18:25:48,22.2394,68.9678,82.74,73,0,11.27
205,Waterloo,CA,2022-05-05 18:22:33,43.4668,-80.5164,62.6,47,40,5.01
206,Svetlogorsk,BY,2022-05-05 18:25:48,52.6333,29.7333,45.3,58,80,4.16
207,Lavrentiya,RU,2022-05-05 18:25:51,65.5833,-171.0,14.77,90,40,4.38
208,Sambava,MG,2022-05-05 18:25:51,-14.2667,50.1667,76.17,83,15,14.03
209,Wajir,KE,2022-05-05 18:25:53,1.7471,40.0573,85.96,62,0,0.0
210,Fiumicino,IT,2022-05-05 18:25:54,41.7675,12.2291,66.65,71,0,6.91
211,Ahuimanu,US,2022-05-05 18:25:55,21.4447,-157.8378,74.86,80,75,14.97
212,Sabla,NG,2022-05-05 18:25:56,12.7525,4.7077,86.23,48,95,18.19
213,Baft,IR,2022-05-05 18:25:57,29.234,56.6057,66.49,19,58,10.8
214,Lagoa,PT,2022-05-05 18:25:57,39.05,-27.9833,61.88,85,100,26.46
215,Torbay,CA,2022-05-05 18:24:56,47.6666,-52.7314,48.58,73,100,17.27
216,Avarua,CK,2022-05-05 18:23:05,-21.2078,-159.775,75.25,94,97,3.44
217,Edgemere,US,2022-05-05 18:25:59,39.2421,-76.448,68.97,67,100,4.61
218,Clyde River,CA,2022-05-05 18:26:00,70.4692,-68.5914,26.83,74,0,10.36
219,Sovetskiy,RU,2022-05-05 18:26:00,61.3614,63.5842,31.78,96,100,10.74
220,Gaozhou,CN,2022-05-05 18:26:01,21.9392,110.8461,70.99,88,4,0.81
221,Langsa,ID,2022-05-05 18:26:01,4.4683,97.9683,75.67,98,100,2.35
222,Gornopravdinsk,RU,2022-05-05 18:26:02,60.05,69.9,40.77,87,100,7.83
223,Petropavlovsk-Kamchatskiy,RU,2022-05-05 18:26:03,53.0452,158.6483,27.19,100,0,4.47
224,Bredasdorp,ZA,2022-05-05 18:26:03,-34.5322,20.0403,59.67,88,6,6.62
225,Santa Rosa,PH,2022-05-05 18:24:57,14.3122,121.1114,84.18,73,13,6.55
226,Mingshui,CN,2022-05-05 18:26:08,36.7167,117.5,71.24,43,68,17.76
227,Lyantonde,UG,2022-05-05 18:26:08,-0.4031,31.1572,64.26,95,93,3.24
228,Thinadhoo,MV,2022-05-05 18:26:09,0.5333,72.9333,83.91,74,100,12.75
229,Bon Accord,CA,2022-05-05 18:26:10,53.8335,-113.4187,65.79,44,100,6.91
230,Bangangte,CM,2022-05-05 18:27:11,5.1409,10.5198,66.29,92,90,2.44
231,Xingyi,CN,2022-05-05 18:27:11,24.1877,102.817,52.52,96,76,2.48
232,Fortuna,US,2022-05-05 18:27:12,40.5982,-124.1573,52.66,94,40,18.41
233,Yaan,NG,2022-05-05 18:27:12,7.3833,8.5667,88.65,54,92,10.76
234,Jumla,NP,2022-05-05 18:27:13,29.2747,82.1838,54.84,89,93,1.03
235,Uyemskiy,RU,2022-05-05 18:27:14,64.4743,40.8524,30.25,68,0,2.24
236,Haikou,CN,2022-05-05 18:27:15,20.0458,110.3417,73.53,100,40,0.0
237,Ixtapa,MX,2022-05-05 18:27:16,20.7,-105.2,79.83,69,0,11.5
238,Ishigaki,JP,2022-05-05 18:27:16,24.3448,124.1572,75.33,100,75,4.61
239,Mehamn,NO,2022-05-05 18:27:17,71.0357,27.8492,33.31,74,41,12.06
240,Turbat,PK,2022-05-05 18:27:17,26.0023,63.044,85.05,34,0,2.57
241,Airai,TL,2022-05-05 18:27:18,-8.9266,125.4092,59.41,93,80,3.09
